jobId,jobUrl,required_skills,description
39875009,https://www.reed.co.uk/jobs/temporary-to-permanent-sme-accountant-wirral/39875009,"['Capex', 'Financial Statements', 'Management Accountant', 'SME']","Our Client, an established and growing SME development & manufacturing company based on the Wirral are recruiting for a temporary to permanent Accountant responsible for all aspects of accounting for a smaller business. This role will be a standalone role  reporting to the CEO/CFO who is based at another site so it is important that this individual is use to working within a small team. The Opportunity:  This role will be an all encompassing accountancy role working and providing management information to the business and management teamResponsible for overseeing all finance and accounting procedures and internal controlsPreparation of monthly financial statements ensuring the supporting ledgers are appropriately reconciled.Providing cash flow forecast information working with the FDAssist the Finance Director, as required, in the work involved in finalising future investment fundraisingsEnsuring regulatory compliance, including timely and accurate filing of returns as required.Annual audit and preparation of statutory accountingAnnual budget setting, monitoring and reporting of budgets with detailed variances partnering with managementIn depth analysis and commentary with the Finance Director for Board reporting.Analytical review of capex proposals and other planned expenditures.To work closely with the Commercial Team providing solid costing information for tender and pricing opportunities.Ad hoc projects What you will need to succeed: The successful candidate will have had experience in an SME environment, preferably with a manufacturing background, to support the day to day accounting requirements of the business.  Ideally a qualified accountant or equivalent experience as a management accountantManagement AccountantBackground within an SME environment essentialAdvanced Excel skills - essential What you will get in return:  Exposure to array of projects, both on a national and global level.Study support if requiredMentoring from an established team and FDFree parkingCompetitive holiday entitlement and benefits What you will need to do in return: Should this Temporary to Permanent Accountant position be of interest, please forward an updated copy of your CV and apply now. We look forward to hearing from you and supporting your career search. "
39911778,https://www.reed.co.uk/jobs/senior-accountant-ifrs17-life-insurance/39911778,,"Apply on employer's website                     Alexander Mann Solutions (AMS) is the world's leading provider of Talent Acquisition and Management Services. We deliver award-winning solutions to over 65 outsourcing clients and consulting services to hundreds more. Our contingent Workforce Solutions (CWS)  service acts as an extension of our clients' recruitment team and provides professional interim and temporary resources. Our client Lloyds Banking Group is a leading UK based financial services group providing a wide range of banking and financial services, focused on personal and commercial customers. Lloyds Banking Group support a culture of Inclusion and opportunities to  develop to become the Bank of the future and Helping Britain Prosper. On behalf of Lloyds Banking Group, AMS are looking for a Senior Accountant (IFRS17 / Life Insurance) for a 6 month contract based in Bristol.  Purpose of this role: Supporting the production of opening balance sheets and comparatives for IFRS17. This role will be making detailed lists of changes needed to ledgers for the opening balance sheet and to lead implementation to system for audit and other governance. Accountabilities and Responsibilities:  Liaising with chartered accounts on workstream to leverage preliminary work done on changes needed to ledger.Looking on an ongoing basis of what is needed and developing tools needed to show opening balance sheet.Within the wider project - making sure getting they are getting information needed from other workstreams (those teams are delivering numbers for the opening balance sheet and comparative). In order to be successful in this role you will possess all or some of the below criteria:   Life insurance reporting experience. IFRS 17 knowledge.Proven record of delivering projects to a timeline. Lloyds Banking Group will only accept workers operating via an Umbrella or PAYE engagement model. If you are interested in applying for this position and meet the criteria outlined above, please click the link to apply and speak to one of our Talent Acquisition Specialists now.  Alexander Mann Solutions, a Recruitment Process Outsourcing Company, may in the delivery of some of its services be deemed to operate as an Employment Agency or an Employment Business. "
39876080,https://www.reed.co.uk/jobs/financial-accountant/39876080,,"Financial Accountant - £55,000 to £60,000 + Benefits This is a unique opportunity as a newly qualified accountant to own financial accounting output and internal reporting structure for a team of 4.  Responsibilities of the Financial Accountant:  Manage a team of 4Manage timely completion of all statutory returns including VAT, PAYE and IR35 Intermediary reports.Manage treasury and banking functions (including company credit cards) along with cash flow forecasts.Assisting the CFO in the management of the Accounting system and overall structure of reporting.Lead a process of continuous improvement in internal controls, financial reporting and management information.Ensure accurate accounting for all financial transactionsSupport and contribute to preparation of annual budgets and ad hoc forecasts.Assisting the CFO in preparation for annual audit ensuring all information is complete and ready for the external auditors, ensuring no audit issues arise and no incurring of additional fees due to poor preparation. What's on offer:   £50,000 - £55,000 + Bonus/BenefitsUnique exposure to management as a first mover from practiceOpportunity to learn directly from a dynamic and enthusiastic CFOEnjoyable working environmentCentral location - London City To be considered for this unique role click apply below! "
39871833,https://www.reed.co.uk/jobs/financial-accountant/39871833,"['Finance Manager', 'Financial Controller', 'Financial Accountant', 'Reconciliations', 'forecasting']","Our client, a leading organisation who provide an extensive range of installation and construction services to the UK banking community is currently recruiting a Financial Accountant to join their fast-paced working environment. As the Financial Accountant you will be responsible for:  Management account preparation and reportingVariance analysis and reporting on differences foundBalance Sheet reconciliationsSmooth running of Credit Control, Accounts Payable and Accounts ReceivablePreparing and processing payments runBank and cash book reconciliationCashflow forecastsMonthly forecasting and yearly budget preparation and submissionVAT returns and other submissions to HMRCLiaising directly and supporting management team The successful candidate for the role of Financial Accountant will have:  Confidence is using Microsoft ExcelExcellent knowledge in accounting and administrationRelevant Accounting qualification or QBEExcellent business acumen and strong numeric skills In return the Financial Accountant will receive a basic salary of £30,000 - £40,000pa. Working hours are Monday - Friday 9.00am - 5.00pm. Please Note: We do not contact or write to unsuccessful candidates. If you have not heard anything from us within 48 hours of the closing date, you should presume that your application was unsuccessful.  "
39912688,https://www.reed.co.uk/jobs/part-qualified-accountant/39912688,"['Bookkeeping', 'Management Accountant', 'Management Accounts']","TBOS have an exciting opportunity for an experienced part-qualified accountant to join our team. Our company prides itself on delivering comprehensive back-office services to recruitment agencies of any size and industry. This is a fantastic chance to be  part of an exciting and expanding company with a brilliant working environment. As a part-qualified accountant, your daily responsibilities will include:  Production of monthly management accounts for clients.Entering and reconciling bank and invoice finance transactions for TBOS clientsNote purchase invoices, expense claims and credit card transactions for TBOS clientsAnswering emails and phone call queries for own clients.Administrative support to the Finance Manager, ensuring deadlines are metOther tasks when required may include, VAT Returns, Invoice finance reconciliations and assistance with end of year statutory accounts. The perfect candidate for this role should hold the following attributes:  At least 2 years of experience using both Sage50 and Sage Payroll or similar softwareAt least 2 years’ experience gained within a similar roleExcellent organisation skillsIT literate - Microsoft Word, Excel & OutlookThrives under pressure in a fast-paced working environmentStrong eye for detailExcellent telephone manner and communication skills Please note: Full on the job training will be provided to the successful candidate. Successful candidates will receive a starting salary of £25,000 - £30,000 P/A, annual leave and bank holidays, with additional company benefits after a three-month probation period. These include:  Additional annual leave day for your birthdayQuarterly incentives & team eventsPrivate healthcareDeath in service benefitPension contributionPerkBox offers & discounts including free mobile insurance, discounted cinema tickets and much more "
39935020,https://www.reed.co.uk/jobs/semi-senior-full-study-and-benefits-part-or-full-time/39935020,"['AAT', 'Accountancy Firm', 'Microsoft Excel', 'Accounts Production']","Our client is an expanding firm of Chartered Accountants based near Nottingham City. They offer a fantastic working environment and a great team. This newly created role would suit an accountant with a minimum of one years practice experience. THis is essential please do not apply if you have not previously with in an accountancy practice. This role will give you the opportunity to work in audit,accounts, book-keeping and management accounts. You will be given a varied role and great training. Our client is seeking an individual with good interpersonal skills.  to join this great firm  Alexander Kaye work across Nottingham, Derby, Lincolnshire, Leicester, Burton and Mansfield. We work with a large selection of practices from Top 10 firms to small partnerships. SME’s to large Blue Chip organisations. Recruiting across the board from AAT  Trainee, Semi-Senior, to Audit Manager and Partner/Director level. Accounts clerk to FC/FD positions. You wouldn’t accept just any old job. So why trust just any old recruitment consultancy? Whether you’re looking to progress your career or are taking your  first step on the financial career ladder, you need the support of consultants who’ll find you your ideal job. People who’ll spend time with you to get to understand what makes you tick, what you want and, just as important, what you don’t want. People who  appreciate the nuances in your skills and the value of your experience. People who have the technical expertise to speak your language. At Alexander Kaye Recruitment, we have a very simple philosophy. The more we get to know you, the more suitable the position  we can recommend for you. So we invest serious time with you to gain a more rounded picture of you and your goals. This means you can be sure that the role we recommend for you will suit not only your personality, but it will fit your long term career goals  - whether you’re looking to be a Bookkeeper, Trainee Accountant, Tax Accountant, Senior Auditor or even a Partner. The Alexander Kaye Recruitment team is proud of the successful placements we achieve, and we’d love to do the same for you. Alexander Kaye Recruitment Limited is proud to be sponsors of CIOT for the East Midlands Please visit our website for many new practice jobs:www.alexanderkaye.co.uk Key words: FD/FC/Company Accountant/Management Accountant/Financial Analyst/Financial Accountant/Assistant Management Accountant/Assistant Financial Accountant/Newly Qualified/Part qualified/Finance Director/Financial Controller/Financial Director/Assistant  Accountant/ACA/ACCA/CIMA/AAT/ATT/Audit/Tax/VAT/Cost Accountant/Audit "
39907889,https://www.reed.co.uk/jobs/revenue-accountant/39907889,,"Acquia is the open source digital experience company. We provide the world's most ambitious brands with technology (built around Drupal) that allows them to embrace innovation and create customer moments that matter. At Acquia we believe in the power of  community and collaboration - giving our customers the freedom to build tomorrow on their terms. Headquartered in the US with our EMEA Head office in Reading, UK and further European offices in Paris, Munich and Ghent, we have been named as ?one of the world’s fastest growing software companies and have been? rated a leader by the analyst community.  We are Acquia. We are building for the future of the web, and we want you to be a part of it. Reports to the Revenue Manager EMEA and is based in Reading,, the Revenue Specialist ensures accuracy and timeliness across the entire 'Quote to Cash’ process. They bring excellent customer service, problem solving and business partnering skills. You are  a great team player who thrives on continuous improvement and embraces change and has the ambition to become a revenue recognition specialist. Responsibilities:  Review orders which requires accurate interpretation of legal documents of varying complexity, ensuring compliance with mandated approvals, policies and procedures.Invoice contracts of various types ensuring accuracy.Troubleshoot to resolve Order Management and billing issues, maintaining operational compliance.Ensure revenue recognition criteria are met.Effectively manage internal customer/stakeholder inquiries on billing process, internal control and policies.Provide support to the EMEA & APAC Sales Team with deal construction and configuration with Salesforce.Assist Sales and other internal groups with RFP responses and other similar requests for information.Identify and support continuous improvement, ensuring your voice is heard.Escalate customer issues, other than billing, to the appropriate Dept.Support month and quarter end close activities.Business Partner with the Professional Services Team from a Revenue perspectiveRevenue account reconciliations.Assist with external audit requests.Review and prepare technical write-ups for contracts Qualifications:  Bachelor’s degree or AAT qualifiedKnowledge of U.S. GAAP and SOX Controls would be preferableStrong desire to learn and grow as a member of a teamProactive with a can do attitude1-3 years of accounting experienceStrong Microsoft Excel Skills - including pivot tables and v-lookupsExperience with SaaS business preferred or a software companyExperience with Intacct and/or SalesForce is a plus Benefits: Excellent salaryGreat annual bonus performance relatedPrivate medical cover for yourself and your family5% contributory pension schemeIncome Protection PlanSocial activities in each local office, including Wellness daysFully stocked kitchens, fresh fruit, soft drinks, continental breakfasts, pizza mondays and that’s just the start…Fully stocked beer & wine fridges and quarterly happy hour enjoyed on our rooftop terraceAnd Incredible offices in The White Building with state of the art technology with an eco-friendly twist Acquia is an equal opportunity (EEO) employer. We hire without regard to age, color, disability, gender (including gender identity), marital status, national origin, race, religion, sex, sexual orientation, veteran status, or any other status protected  by applicable law. "
39909836,https://www.reed.co.uk/jobs/supply-chain-accountant/39909836,,"Investigo have partnered with a well-respected FMCG business based in Slough to recruit for a Supply Chain Accountant on a 6-month contract basis. This is an outstanding opportunity at a global, dynamic and highly respected organisation. Paying between £40,000  - £50,000 depending on experience.Please note, you will have to be immediately available or on one weeks' notice to be considered for this 6-month contract.Key responsibilities; -  Month-end reporting - ensuring accurate month-end stock reconciliations & adding your own insight and business commentaryProviding various business units with budgeting, forecasting & ad hoc analysisSupport in the day to day performance of transactions in SAP and evaluate VAT compliant supply chainsEnsure the set ups of new item codes & accurate accounting for new itemsProfitability analysis, review & commentarySupporting finance projectsLooking after the finance activity across the different areas of supply chain The Ideal Candidate; -  Will have previous experience working in a financial or management reporting role & will have strong experience dealing with inter-company reconciliationsStrong computer skills, including- Excel & SAPKnowledge of VATGood communications, both verbal & writtenExcellent organisational & planning skills- with good attention to detail If you are interested in the role above, please apply now- or please send your CV direct to  "
39928879,https://www.reed.co.uk/jobs/lead-project-accountant/39928879,"['Project Accounting Manager', 'Lead Project Accountant', 'Head of Project Accounting', 'Lead Project Cost Controller', 'Lead Cost Controller', 'Project Accounting Senior']","Assist manager & delivery of the project cost control service provision to the business in line with department & project service level agreements. Ensure Cost Management best practices are applied consistently across all projects, to proactively identify  cost variances and risk areas and mitigations to project managers, & to assist delivery of project & customer requriements in a cost effective manner. Client Details My client provides services to the commercial industry, are a worldwide leader in their specialist field, and produced revenues upwards of £500 million. The group operates across a number of sectors with a broad geographical spread, aimed at adding resilience  in times of economic uncertainty and adding complementary skills and discplines to the group through niche acquisitions. Description The Lead Project Accountant will have the following duties;  Assist allocation and coordination of project cost controllers for active projectsEscalate cost control issues to Head of Project Control for resolutionLead peer reviews to drive effectiveness and consistency across cost control activities Maintain and champion improvement of cost control processes and procedures and ensure their applicationResponsible for the production, integrity and accuracy of project and service reporting packAssist project planning define and maintain detailed Work Breakdown StructuresPeriodically perform estimate to complete in collaboration with the Project TeamAnalyse estimates and forecast costs to ensure they are accurate and will be maintained within the target Estimate at Completion positionEnsure costs are correctly allocated to cost accounts/work orders and review correct coding of requisitions, purchase orders, contracts, invoices, estimates, variationsReview Suppliers' periodical work in progress / cost reports ensuring correct approval of milestones/progressPerform Value of Work Done (VOWD) assessments through project life, compare to planned progress, identify and mitigate slippage and escalate issues to managementPrepare required cost reports and gather back-up documentation for Customer's invoicingPrepare regular internal and external project reports for management and customers respectivelyParticipate in the risk management & mitigation processCollaborate in the preparation of variation order requests / claims and relevant follow-up, assisting the Project Manager in the evaluation of changes as requiredFacilitate and participate in lessons learnt sessions on project delivery and feedback to the responsible functions to ensure these are captured and acted upon to improve future project delivery Profile The Lead Project Accountant will likely have the following profile;  SKILLS  Excellent analytical review skillsAbility to manage large volumes of dataAbility to prioritise tasks and manage timeAttention to detail  QUALIFICATIONS & EXPERIENCE  ICAS/ACCA/CIMA Certification is an advantageDegree in Accounting, Finance or Engineering is an advantageProven track record in a similar role (e.g.Senior Project Accountant, Project Accounting Manager) and industry (e.g. Oil & Gas, engineering or manufacturing)Advanced user of Microsoft ExcelExperience of ERP systems (e.g. Glovia, SAP, Oracle etc.) Job Offer My client is offering a competitive salary and benefits package, ranging from £47,500 - £55,000 for the successful Lead Project Accountant. Further benefits include 26 days leave plus 4 additional bank holidays (the rest are used to cover the Christmas shut  down). There is also a 12.30pm finish on a Friday, following a 37.5 hour working week. "
39935621,https://www.reed.co.uk/jobs/accountant/39935621,,"This an exciting opportunity for an aspiring accountant to be part of the internal finance function at a Top 20 international accounting firm who provide support, resources and business tools to enable their independent member firms to grow their business. They are currently looking for someone to join on a temporary to permanent basis and they envision this initial interim period could last for a period of roughly 2 months dependant on the candidate and their work ethic. Once a candidate is made permanent,  they will be entitled to the full range of benefits including study support if required. Role: Accountant Duties:  Preparing weekly payment runsUpdating bank on Xero and Bank reconciliationsMonthly management accountsPreparing quarterly levy invoices, event invoices and other recharge invoicesUploading and preparing supplier invoices for approvalPreparing weekly aged debtor reportsAssisting with credit controlCommunicating with regional coordinators and other non-finance staffAssisting with other ad hoc reports and administrative work Experience  2-3 years’ experiencePart qualified or fully newly qualified accountantExperience in Xero/SageGood knowledge in Excel If you are immediately available or could start on a short notice, then please don’t hesitate to apply. I look forward to receiving your application. "
