jobId,jobUrl,required_skills,description
39680171,https://www.reed.co.uk/jobs/administrator/39680171,,"Apply on employer's website                     Company Description We are part of Link Group, a leading global provider of financial administration solutions. As one of Europe’s leading asset servicing platforms, Link Asset Services interacts with almost 6m investors, administering and safeguarding £600bn of assets across  10 highly regulated markets. Link Company Matters is one of the UK’s largest professional services company secretarial teams with over 60 people across offices in London and Exeter, We support both domestic and international clients with all aspects of their company secretarial and  governance needs. Job Description As Corporate Administrator your role will be to provide company secretarial support to our internal and external clients. As part of our team you will gain experience in statutory and regulatory compliance, and governance best practice. Key responsibilities:• Provide corporate, registered office and corporate administration services to a portfolio of clients.• Conduct corporate administration work with appropriate supervision ensuring that all client instructions are interpreted precisely, responded to correctly and that the client is kept regularly informed of progress and costs.• Develop good working relationships with those clients and to build an understanding of their requirements ensuring that their needs are responded to.• Ensure that all work is promptly recorded and tracked, working with the Client Relationship Manager to identify out-of-scope work and raise interim invoices as appropriate.• work closely with other members of the Corporate Administration team in identifying areas where current systems and services can be developed.• Work closely with clients, identifying ways in which Company Matters can develop the relationship and ensure client retention.• Maintain systems that enables Company Matters to manage and control customer due diligence activity, reporting all concerns in respect of suspicion of money laundering activity to the MLRO.• Refer any complaints or testimonials to the appropriate manager immediately.• Collation of board packs and preparation of minutes where required. Qualifications To be considered you will need to demonstrate a comprehensive understanding of and commitment to the company secretarial profession. You will ideally have established yourself as a corporate administrator within the company secretarial/corporate administration  field and understand the basic principles around UK company law, regulation and best practice. A proactive and flexible approach, upbeat manner and the ability to work in a team are essential. Essential skills:• High level of accuracy, with a good attention to detail.• Experience of a client/customer facing environment.• Solid Microsoft Office 365 skills.• Enjoys working as part of a team.• Excellent verbal and written communication skills.• Proactive and flexible approach to workload.• Organised, ability to handle conflicting deadlines.• Ability to remain calm under pressure.• Business and commercial awareness.• Creative approach to problem solving. Desirable:• Progression towards a relevant professional qualification (ICSA Certificate of Company Secretarial Practice, paralegal, ILEX etc.).• Experience within, or understanding of, a professional services environment.• Legal or accountancy training or experience.• Financial services experience, e.g. insurance, pensions.• Investment company experience.• Business development experience.• Knowledge of Diligent Entities (formerly named Blueprint) software and Companies House webfiling. Additional Information Link Group’s purpose statement 'Together we achieve’ reflects how much we value working together: with each other; with our clients; and with third parties, to help everyone achieve success - both personal and professional We have an ongoing commitment to career progression, training and education as well as a competitive compensation and benefits package that under pins this.  At Link, you’ll find we support achievement and celebrate success. So, if you want to be a part of this, click the 'I’m Interested’ or Apply button. "
39805667,https://www.reed.co.uk/jobs/business-administration-apprentice/39805667,,"Apply on employer's website                    Description Are you ready for a new challenge? It's a great time to join us; with a new Community Vision for Surrey and Organisational Strategy, we've made huge strides over the past year, stabilising our finances and developing a transformation programme that will fundamentally change the way we work,  for the benefit of Surrey residents. Led by Rachel Wigley (Director of Finance Insight) and Anna D'Alessandro (Director of Corporate Finance), we have an ambitious Finance Improvement Programme to ensure we have the right financial capability, systems and processes for the future. Key to this  is the Finance Academy, a range of learning and development tools equipping finance staff and managers across the organisation with the skills to realise our goal of excellent financial management. We're looking for fresh ideas and inspiration to help us in our transformation, building on solid foundations in our drive to be the best. If you're up for the challenge, we want to hear from you! About the role We are looking for an enthusiastic, energetic and self-motivated apprentice to join our Finance team. You don't have to be a school leaver or a young person to start an apprenticeship. They are a fantastic way to start your career, get paid to do a real  job, gain experience and work towards a nationally recognised Business Administration qualification. Working primarily in the Finance Service Improvement team, you will be involved in a range of projects and service improvement activities including the development and coordination of the Finance Academy (training and development platform). You will assist  with planning and organising training, workshops and events, take an active role in the development of the Finance Academy platform and other ad hoc work that contributes to the finance improvement journey. This is a varied role and you will have the chance to make it your own, whilst we will provide you with all the knowledge and training you require to be successful. The work you do will reinforce your learning, providing evidence- based experiences to support  your qualification. To be shortlisted for interview for this position, your CV and personal statement should clearly evidence:  Commitment and willingness to learnAn enthusiasm and commitment to continuous improvementConfidence in the use of ITStrong written and verbal communication skillsAbility to organise and prioritise your time and workload.Two GCSEs grade A to C or equivalent, preferably including Maths and English (you can still apply if you don't have GCSEs but you would need to complete functional skills lessons during your apprenticeship). For more information about the role, please find the job profile attached at the bottom of this page. Job details About the Apprenticeship Business Administration Advanced Level 3 – equivalent to 2 A Levels. Our apprenticeship scheme provides a perfect way to earn a wage while you gain vital work experience and a nationally recognised qualification. You will be fully supported and mentored through your apprenticeship and be given protected time to complete your  course work. This may include attending college or accessing online training either in a workplace setting or from home. Assessment for the course includes a multiple choice knowledge test, a 30-45 minute portfolio based interview and a 10-15 minute project presentation. For more information about the Apprenticeship Standard for this role please visit . here you will find a link to the business administrator assessment plan which gives more information about the content of the course. >. here you will find a link to the business administrator assessment plan which gives more information about the content of the course.>"
39931797,https://www.reed.co.uk/jobs/administration-assistant/39931797,,"Due to expansion an exciting opportunity for an Administration Assistant to join a Knutsford based company. Your new companyBased in Knutsford, this market leading company is looking to expand and are current seeking an administration assistant to join their team. Your new roleA varied role, you will undertake a variety of different tasks daily.Liaise with internal and external clients alike, Book travel and accommodation,Data base management, Assist with events and produce monthly newsletter,Assist in the preperatin of management reportsDaily adhoc administrationWhat you'll need to succeedYou will possess exceptional communication skillsBe able to plan and organise and carry out varied tasksstrong administration skillsProven ability to work to deadlinesComputer literate able to learn new packages. Proficient in the use of MS Office.Experience of ""DropBox"" is advantageous but not essential as is experience in working with Eventbrite and Abode.What you'll get in returnSalary is £20,000-£23,000 dependant upon experience,Free Parking25 days holiday + benefits. What you need to do nowIf you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or call us now.If this job isn't quite right for you but you are looking for a new position, please contact us for a confidential discussion on your career. Hays Specialist Recruitment Limited acts as an employment agency for permanent recruitment and employment business for the supply of temporary workers. By applying for this job you accept the T&C's, Privacy Policy and Disclaimers which can be found at hays.co.uk "
39641826,https://www.reed.co.uk/jobs/billing-administration-assistant/39641826,['Administrator'],"Billing/Administration AssistantCity of London £21,000 - £25,000 *Depending on experience Sociable, dynamic, buzzy and fast paced environment! Our client is seeking a professional, hardworking, personable new member to join their growing team. Stunning offices in the heart of the city! Excellent opportunity to grow within a well-established firm to build on skills and knowledge. Must be dedicated,  positive and have previous experience in an administration/billing position. This role is ideal for someone who is looking for a great team environment, bubbly, vibrant, sociable and outgoing. The successful candidate will have some administration experience along with experience in invoicing and billing.  JOB ROLE: Billing/Administration Assistant  JOB TYPE: Permanent COMPANY: Communications Company HOURS: 9:00am - 5:30pmSALARY: £21,000 - £25,000 *Depending on experience + Great Company Benefits LOCATION: Heart of London City! Fenchurch Street. CULTURE: Friendly, well established company, hardworking, professional, social, vibrant, dynamic team.  The chosen candidate will be working closely with the organisation's Billings Manager. Main duties will include but not limited to:  Main responsibility to ensure that customers are billed in a timely and accurate fashionDealing with queries and problem solvingGathering, calculating on documenting numerical data for invoicingDealing and communicating with customers over the telephone and via emailWorking amongst a team within a friendly officeUpdating records and keeping track of paymentsAdministration duties to support the office They are looking for someone with the following qualities;  Must be analytical and have experience in invoicing, billing and administrationCredible education, GCSE - ALEVEL EQUIVALENTAbility to work well in a team with all levels of seniority  Able to engage and build strong relationships with other team members and internal departmentsKeen to learn new technologies and techniquesOutgoing, hard working, self motivate If this company and position appeals to you then please apply your CV on-line.  Advertised by Office Angels, City branch Please note that due to a high volume of response Office Angels receive; only successful candidates will be contacted For the purposes of the Regulations, please note that Office Angels in the provision of these services will be operating as a recruitment agency. Office Angels are an equal opportunities employer  Office Angels acts as an employment agency for permanent recruitment and an employment business for the supply of temporary workers. Office Angels UK is an Equal Opportunities Employer. By applying for this role your details will be submitted to Office Angels. Our Candidate Privacy Information Statement explains how we will use your information - please copy and paste the following link in to your browser: https://candidate-privacy  "
39667594,https://www.reed.co.uk/jobs/pensions-administration-manager-leading-pensions-company/39667594,"['Defined Benefit', 'Pension Administration', 'Pensions']","Pensions Administration Manager - Leading Pensions Company Birmingham Up to £45,000 An excellent opportunity has arisen for a passionate, motivated and highly experienced Pensions professional to join an award-winning Pensions Consultancy, where you’ll be working alongside an expert and friendly team who focus on providing expert solutions  for large corporate companies across the UK. Taking overall responsibility for service delivery, specifics of the role will include:  Taking a proactive approach to a wide range of Pensions Administration, Management and Consultancy tasks.Being the key contact for a designated portfolio of clients, developing lasting relationships and providing high and consistent client service to their specific needs.Overseeing and reviewing the team’s performance by managing workflow, identifying training requirements and ensuring that team members develop successfully and in line with the company’s internal progression model.Clearly set out team objectives, priorities and any business changes by holding regular management meetings and resolving any issues quickly and efficiently - including providing advice and support across the team and ensuring everyone is involved and updated.Liaising with HR, taking a proactive role in recruitment, retention and training.Supervision of client projects, annual renewals and the production of trustee and client reports.Participating in new business initiatives, designing of marketing material, production of presentation reports and events as required. This is a great opportunity for an individual who wants to join to an expert team of Consultants who proactively develop the business through strategic business decisions and knowledge. To be considered you must have solid industry knowledge and practice  of DB Pension Schemes, relevant qualifications and strong experience in a supervisory, leadership or management role. In return this position offers the potential to move into increasingly senior and management roles through an existing, fully focused employee  training scheme and various methods of company support including internal job openings and invaluable industry experience. For more information please contact Hannah Ross "
39837508,https://www.reed.co.uk/jobs/administration-assistant/39837508,,"Apply on employer's website                    About the role We currently have two Administration Assistant vacancies which are based within our Frimley Park Hospital team. We are looking for someone to provide comprehensive administrative support to our Adult Social Care team within an integrated Health service. You may also be required to travel to other sites in Surrey to support operational functions, but this will be discussed with you. You will need to have good excel skills, with quick and accurate data entry on mainframe databases. You will also need to be comfortable interpreting data recorded on Social Care and Health systems which may be complex in nature. At times you will need to  produce and maintain reports. You will have good communication skills both written and verbal as you will be expected to deal with telephone enquiries and a wide range of correspondence, case recording and scanning duties. In addition, you will have the skills to enable you to take notes  and minutes of meetings. You will have a flexible approach, be well organised and able to work under pressure, on occasions, to tight deadlines. You will also have excellent customer service. You will have previous experience of working in a busy office environment and have the ability to work as part of a team within existing working protocols and procedures whilst being proactive and using your initiative within the scope of the job role. For more information please find attached to the bottom of this advert a full job profile. "
39875655,https://www.reed.co.uk/jobs/forklift-driver-counter-balance-with-administration/39875655,,"Do you have a Counter Balance Fork lift licence with warehouse management system experience? Are you looking for a temp to perm position in the Milton Keynes area? If you are we have a perfect role that is available immediately, so get in touch! Hours: 08:00- 16:30 Monday to Friday  Pay rate: £9.74 per hour Benefits: Free parking Temp to perm This role will require you to be versatile as you will be involved in varied responsibilities, such as inputting information on to their warehouse management system so you must be computer literate. We look forward to speaking with you soon! Please note that no terminology in this advert is intended to discriminate on the grounds of a person's gender, marital status, race, religion, colour, age, disability or sexual orientation. Every candidate will be assessed only in accordance with their  merits, qualifications and ability to perform the duties of the job. "
39769944,https://www.reed.co.uk/jobs/administration-assistant/39769944,['Legal Administrator; Administration assistant;'],"Department Admin Assistant - Cardiff£17,250I am currently recruiting for arguably the largest law firm in Cardiff, a Top100UK rated law firm who are looking to bring in an enthusiastic, professional and hard-working Admin Assistant to assist with the day-to-day runnings of one of their most important  teams.My client are a well-established firm with offices throughout the UK, in London and Oxford for example, and with a reputation for being one of the largest Employment law specialist firms in the UK.Amongst the general duties of the job includes the following:General administrative tasks, including but not limited to: filing, photocopying, printing, scanning and binding documents;Archiving files with the use of the Elite management system and FileTrack;Support the secretarial team in the opening of new clients/matters;General departmental administration tasks, including but not limited to: answering the telephone and dealing with queries/taking messagesThis is a role that will suit someone with previous experience in a fast-paced office environment, who is able to deal with tasks quickly and efficiently, and who can ensure that all work is completed to a high standard.If you think that this is the role for you then please don't heistate to apply now! Please contact Andre Kacperski, Legal Recruitment Consultant, to discuss the role in more detail or apply through the vacancy for immediate consideration. Douglas Scott are a legal recruitment expert and the UK's leading law firms trust us with their legal vacancies. We are a regulated recruitment consultancy and will discuss this role and seek your approval before submitting an application directly to the  decision maker. Please see our websitewww.douglas-scott.co.uk for more legal positions. "
39665127,https://www.reed.co.uk/jobs/school-administration-roles-available/39665127,['SIMS'],"VERITAS EDUCATION ARE RECRUITING FOR SCHOOL ADMIN STAFF. An exciting opportunity has arisen for enthusiastic and experienced receptionists to join our Administration Team within secondary schools throughout Leeds, Bradford, Kirklees, Calderdale & Wakefield The successful candidate will be the first point of contact for all school enquiries and external stakeholders and we are looking for candidates with strong communication and IT skills.  Previous experience of working in a School environment is essential as is the knowledge and experience of using SIMS. Summary of the post:  To work as directed providing full reception duties to all stakeholders, visitors and staffTo be proactive in dealing with routine and repetitive telephone enquiries ensuring that more specialist questions are transferred to the relevant person in a timely mannerPlay a key role in the delivery of professional services within the Academy and to deliver basic administrative supportListen to voicemails, responding accordingly Throughout school holidays, (using a school iPad when at home) to share the monitoring of the admin inbox, forwarding messages to the most appropriate member of staff If you are interested in the role then please apply with your CV or contact the Secondary Team.  APPLICATION REQUIREMENTS FOR VERITAS EDUCATION  All applications are subject to an Enhanced DBS Disclosure, professional reference checks, Overseas Police Clearances (if applicable) in line with our stringent safeguarding policyYour CV must cover the last 10 years of employment history where possible and all employment breaks must be explainedYou must have legal right to work in the UKYou must be willing to attend a registration interview Veritas Education work with a variety of schools covering a wide geographical area. We deal with teaching placements at Primary, Secondary and college level as well as support staff positions also within these. Disclaimer 'Nothing within the above advert was in any way designed or intended to discriminate on the grounds of age, gender, race, colour, religion, disability or sexual orientation. Veritas Education is an Equal opportunities employer and is proud in the knowledge  that all placements are made on merit and suitability. We accept applications from all sections of the community.' "
39893668,https://www.reed.co.uk/jobs/mortgage-administrator/39893668,,"Looking for an administration job in a collaborative team in the Mortgage industry? Based in Central London, this company are looking for an Experienced Mortgage Administrator to join their innovative team of dedicated professionals.Like to work hard - play hard?This team of fun and supportive people like to celebrate their success with monthly staff outings and end of year social Christmas events in London. If this administration job matches your ideal work environment and you fit the below requirements, they will  welcome you with open arms.As long as you are…- Familiar with the mortgage process (practicing for 1 year) and general administration - Confident liaising with customers and clients with strong communication skills - MS office literate - Loyal, dedicated, enthusiastic and proactiveThen don't hesitate, submit your application and you could be supporting them with mortgage applications, general insurance and life processing from post-sale to successful completion!PLEASE NOTE: Due to this client recently developing their existing team of mortgage administrators there will be no career progression/development in this job for 3 years until the current staff have completed their training and qualifications. Salary: £24,000 - £27,000 Benefits:- 22 days annual leave plus bank holidays- Cycle to work scheme- Standard pensionHours: 9am - 6pmKey Responsibilities:- To be fully briefed on all cases that you take responsibility for- Maintain a diary system to ensure that all cases are monitored on a regular basis and all outstanding matters are dealt with promptly- Ensure that all incoming post and administration is dealt with correctly on a daily basis- To be able to successfully navigate your way through all the necessary computer systems required- Assisting in general office duties including faxing/filing/photocopying- To answer incoming calls in a professional manner- Work closely with all Sales Consultants & other Sales Support "
