jobId,jobUrl,required_skills,description
39905566,https://www.reed.co.uk/jobs/sales-coordinator-harlow-18000-22000/39905566,,"Looking to join a family business in Harlow?Enjoy working in a small but friendly team? The role of Sales Administrator is a great permanent opportunity for individuals with a background in a similar role. Job purpose: To plan and carry out sales administration activities, so as to develop and maintain sales of the brands product range to Global Retailers and Wholesalers, in accordance with agreed business plans. Key responsibilities:  General sales administration.Query resolutionAnswering telephone calls, making calls to customers regarding orders.Data entry of orders on Intact.General filing of accounts paperwork.Pack products ready for shipping, order postage on line, deliver to post office.Manage workloads and prioritise work to meet business targets, personal and team Key Performance Indicators.Liaison with couriers.Administration of returns and logging customer calls on our system.Other duties as assigned. The candidate will need to have at least 1-2 years experience within a similar role. This is a Monday - Friday role, hours 08:30am - 17:00pm. Salary £18,000 - £22,000. Please apply ASAP if interested. "
39935228,https://www.reed.co.uk/jobs/internal-sales-coordinator/39935228,"['Customer Service', 'SAP', 'Telephone Sales', 'Price Quotes', 'Sales Coordination']","Nouvo are delighted to be supporting an established organisation with over 50 years in business who also have international presence.  They offer full training, career progression and an amazing benefit package.  Due to changes within the business, they are looking to recruit for an  Internal Sales Co-Ordinator in their brand new role.  Responsibilities  Administrative support to the Sales Operations teamAssisting/costing of client quotesEstablish sales leadsUpdating of SAP (relevant software packages) of sales informationWork with the team to achievement sales targetsAttend internal/external client meetings as requiredAttendance of exhibitions, industry and networking events that have potential clients identifiedResolve queries and complaints relating to sales activitiesProcess new applications from potential clientsInvoicing as required. Skills required  Proven telephone sales experienceThe ability to manage client accountsIdeally experience of working within an audit/Inspection industryGood planning and organisational skillsExcellent computer skillsExcellent communication skillsExperience of working with large amounts of data Due to a very high number of applications we are unable to come back to every candidate with feedback. If you do not hear from us within 48 hours please assume that you have been unsuccessful on this occasion. Your CV will be registered with us and we will  keep you updated with any other positions that may be of interest. However please keep checking our website as new roles will be updated daily, Nouvo Recruitment wishes you the best of luck in your job search.  Nouvo Recruitment Ltd operate as an independent recruitment agency with over 20 years of experience supporting clients and candidates nationally across the UK. "
39874947,https://www.reed.co.uk/jobs/sales-assistant/39874947,,"Apply on employer's website                     Aged 25 and above: £8.21 per hour plus generous bonus and personal sales commission Aged 24 and below: £7.70 per hour plus generous bonus and personal sales commission  Think you know Topps Tiles? Think again. There’s plenty about Topps Tiles that might surprise you. Like the fact that you don’t need DIY or tiling experience to join us. If you’re enthusiastic and brilliant with people, we have a great job in store  for you. What we’re looking for You don’t need to have worked in retail sales before. And you certainly don’t need to know all about tiles or DIY. If you’re the sort of person who’ll go above and beyond to deliver outstanding customer service, you’re a quick learner (we have the training  you need to soon become a product specialist).and are a team player, we’d love to hear from you. Just so you know, internally at Topps Tiles, our Sales Assistants are known as Service Specialists. Part of a small store team, and by using leading edge technology in store, we enable you to help our customers visualise their projects and really bring them to life. You’ll inspire customers and help them to find just what they’re looking for and do everything  you can to make their tiling project happen. You’ll be quick to get to the heart of every customer’s needs – whether it’s flooring for a first home or a trade tile purchase – and find solutions that fit their requirements brilliantly. No two days are the same, one minute you could be getting creative, the next helping with our traders. Lifting tiles is part of the job as is putting away deliveries! Who you are Great team player? Real people person? Someone who loves helping others? Check, check and check. As well as being passionate about customer service, you’ll need:  The ability to communicate well with colleagues and customersA confident and professional manner in dealing with a variety of different customer situationsAbility to work co-operatively with othersEnthusiasm and a positive ‘can-do’ attitudeAbility to engage and inspire customers through questioning and listening skillsPrevious experience as a Sales Assistant or working in retail sales would be a bonus but isn’t essentialA creative flair or interest in the latest trends is perfect as you will get to influence customers in their style choicesFlexibility to cover store opening hours including weekends, and work in alternative locations if required. We only expect you to work daytime hours – no evenings and no Christmas Eve or Boxing Day either. What we’ll do for you   There’s a generous staff discount for our Sales Assistants, a Share Save scheme, pension and life assurance, a holiday allowance that increases with length of service and a wide range of other benefits. We’re committed to promoting talent from within too,  which means you’ll be well-supported to build a rewarding career with an individual development plan and lots of training on offer.In a culture where hard work is recognised and great results are rewarded, you can look forward to uncapped personal commission and company bonus schemes that will give you a share of our success and substantially increase your base wage. Who we are Big things are happening at Topps Tiles. As the UK’s leading tile specialist selling only the very best quality on-trend products, £1 of every £3 spent in the UK domestic tile market is spent with us. We have grown to incorporate over 1,500 specialist experts  and over 350 stores nationwide. This is an exciting time to join the Topps Tiles family. We’re as big on career opportunities as we are on outstanding service and great value. After all, it’s the brilliant, friendly, knowledgeable people that make us special. "
39939495,https://www.reed.co.uk/jobs/sales-coordinator/39939495,,"Sales Coordinator - BRAND NEW ROLE created by expansion Huddersfield £23,000 - £24,000 (DOE) 24 days holiday plus Bank Hols Company Pension Scheme Free Parking #SalesAdministrator #Export #SalesCoordinator #Huddersfield #FantasticBusiness #GreatTeam #MarketLeader My client based in Huddersfield are an international leader within their field who are looking to recruit an experienced Sales Coordinator to join their Head Office function. Reporting directly to the Sales Manager this key role will see you directly responsible  for the coordination of both new and existing business proposals and of being the teams customer representative for general enquiries, product availability, costings and delivery timescales. This permanent opportunity will see you challenged on a daily basis however having the full support around you to be successful. Key Responsibilities: * Raise quotations for customers, working with measurements and technical data * Liaison with Production, Logistics, Finance and external reps within the business * Following up of quotations, sales leads and to further identify opportunity for the business * Sales order processing - this role will see you directly responsible for your orders with various order range values. * Act as Ambassador for the business with your customer over the telephone or via email (on a daily basis you could be speaking with: Specifiers, Architects, Buyers and Installation teams) * Maintain all jobs and feedback to customer updates Candidate: * Educated to A Level or equivalent * Commercial astute (experience of following up quotations/ sales leads is preferred) * Understand the Sales Ordering process ideally from a Manufacturing or Construction background * Experienced in raising quotations and responding to price enquiries * Confident Excel user (not afraid to navigate through various systems with ease to pull together information) * Confident Maths skills as you will be working with measurements * Can do attitude * Able to work to key deadlines * Relationship Builder This fantastic opportunity would suit someone who is looking to work for a company that is successful and truly values their employees. You will currently be in a similar role looking to excel further. At Venatu Recruitment Group, your right to privacy is important to us. By applying for this job, your information will be entered into our recruitment system. This will enable you to register for job alerts, apply for jobs and for us to help you find your  next role. To read our full privacy policy please follow the link: http://privacy/ "
39938508,https://www.reed.co.uk/jobs/sales-assist-account-manager/39938508,['Customer Service Advisor'],"Sales Administrator / Account Manager  Salary: £20000 - £25000 per annum + quarterly bonus  Woodbridge  Working Hours: 8.30 - 5pm, Mon-Fri  We are currently recruiting for an exciting position as a Sales Administrator/Account Manager for one of our Fast-Growing Medium sized clients based in Woodbridge. The role is for a timber Merchants who supply to major housing companies. The position is to start as a sales administrator and learn the industry to then progress to an account manager.  answering calls from clients who are looking to process orders, log orders and send invoicesmanage logistics of deliveryUsing a Bespoke system for stock controlCreating and sending invoicesUpselling and cross selling to clients on the phoneMaking outbound calls to clients to try and sell timber using the database provided with over 1000 clients onManaging 50 - 100 accounts worth around 8 millionBusiness development workOffice based About the company and benefits  Turnover of 85 million a yearGrowing rapidlyLove to promote internal staffVery personable - 5 people in the teamGreat locationCar parking20 days holiday plus bank holidayChristmas partyExtensive training What are we looking for?  Ambitious, money hungry individual who is keen to progress within a companyConfident to talk on the phone, make and receive callsGood concentration skills and keen to learnSales experience desired or strong customer service backgroundTimber experience desired but not essentialMust be a driver If you have the right skills and experience for this role, then please apply today. Our client is looking forward to having a fresh and exciting new candidate start with them. By registering with Adecco, you will benefit from the support of a dedicated and  experienced recruitment consultant who specialises in the commercial industry, have access to various interviewing techniques, regular updates of the local employment market and consistent feedback on all applications. This service is offered right through from the initial meeting to the day you start your new role and beyond! Please be aware that we are currently receiving a high volume of applications and will endeavour to contact all applicants, however if you have  not been contacted within 72hrs please assume that you Adecco acts as an employment agency for permanent recruitment and an employment business for the supply of temporary workers. The Adecco Group UK & Ireland is an Equal Opportunities Employer. By applying for this role your details will be submitted to Adecco. Our Candidate Privacy Information Statement explains how we will use your information - please copy and paste the following link in to your browser https://candidate-privacy  "
39854266,https://www.reed.co.uk/jobs/account-director-it-sales/39854266,,"Base salary upto £50k uncapped OTE, highly competitive commission scheme. My Client, a Top 5 Value Added Reseller (VAR), seeks experienced IT Sales Account Directors. The Account Director is responsible for managing key accounts, maintaining a long term relationship with accounts and maximising sales opportunities within them along with displaying a hunter-gatherer mentality and actively winning new work. My Client offers a highly competitive package, including an uncapped OTE and attractive benefits to sales professionals who can: • Identify and generate new prospects and convert them into key accounts• Develop and manage key accounts to their full potential• Continually update and develop product and market knowledge Responsibilities will include:• Ownership of GP Target• Close alignment with Sales Support to deliver effective level of service to clients• Close alignment with other departments• Responsible for managing several accounts and often being the face of the company to many clients• Championing the customer/client at all levels internally• Building new business relationships using existing industry contacts• Feeding back all suggestions for improvement and market research to senior staff• Ensuring you are aware with all competitive activities within accounts and preventing attrition• Playing an integral role in new business pitches and hold responsibility for the effective on-boarding of new clients• Focusing on growing and developing existing clients, together with generating new business• Write business plans for all key clients• Act as the key interface between the customer and all relevant divisions• Work in alignment with relevant Vendors & Partners Knowledge and Experience • Previous experience in Account Management or Territory Sales within IT / Solution Sales and display an attitude that is key to success• Strong account management and relationship building skills• Experience of managing major national accounts at head office level• Highly self-motivated "
39914614,https://www.reed.co.uk/jobs/sales-advisor-life-insurance/39914614,"['B2B', 'Commission', 'Customer Service', 'Insurance', 'Life Insurance', 'Sales', 'Inbound', 'Quotes', 'Qualifications', 'Leads', 'Service Sector']","Protection Advisor - Life Insurance Sales  £27,000 - £30,000 Basic + OTE £50,000 Sale (local tram stop 6 minute walk away)  Established brand who have received ""best"" quality of service award in the industry100% of the team earn in excess of £45,000. 80% take home £50,000+ per annumGuaranteed 12 New Hot-Key's a dayWorking on an advised sales basis; you will assess the client's needs and provide advice and recommendations tailored to the individualDirectly Authorised by the FCAProtection Brokerage of the year Platinum are seeking Manchester's BEST protection/sales talent! If you want to earn £50,000+ per annum, please apply today. What the business can offer the successful applicant:  Monday to Friday position with an early finish every Friday at 2pmAll expenses paid trip to Marbella for the top 10 performersOpportunities to become accredited with further qualifications paid forUncapped bonuses which are paid monthly. Transparent bonus schemeNo cold calling throughout the business with the current sales conversion at 40%Working for a business that is directly authorised by the FCAClear routes of progression to a senior broker and management based opportunities Platinum are exclusively recruiting for the position. To be considered, send your CV to  "
39874400,https://www.reed.co.uk/jobs/recruitment-consultant-21-graduates-w-sales/39874400,,"Seeking: Graduates, High Academic Achievers, Sales/Commercial Personnel, High Sporting Achievers If you are MONEY MOTIVATED, driven by SUCCESS, and thrive in a FAST-PACED, LIVELY and COMPETITIVE environment - my client has a trainee recruitment consultant  position for you! Trainee Recruitment Consultant - 2:1 Graduates with Sales Experience Graduate Recruitment Consultant - Graduates with Sales Experience - London - ABOVE AVERAGE EARNINGS! Salary: £22k - £25k basic + Uncapped Commission (1st year OTE £35k - £44k) Location: London What to expect as a Graduate Recruitment Consultant:  Working with an exciting mix of the world’s largest retail brands, and small boutique firms - placing the best talent into their global teamsOverseeing the entire recruitment process managing both candidates and clients from Day 1Identifying and sourcing candidates via headhunting, networking and advertisingAttending candidate and client meetings across LondonComplete autonomy over your salary and career progression - the sky is the limit! Core Competencies needed:  ResilienceCompetitivenessMoney motivatedExceptional communication & negotiation skillsIdeally you will be a graduate with a 2:1 degree, but strong academic or sporting candidates with prior sales experience also excel in a recruitment position What does this recruitment client offer you?  Personalised career development programme, designed by you and your manager, on Day 1Unrivalled sales and recruitment trainingBonus scheme: with the mission to always offer the best bonus scheme in the retail recruitment market!Unique incentive scheme; Rolex watches, iPads, holidays, champagne lunches, Selfridges’ vouchers just to name a few'Work hard play hard’ ethos; company nights out, dodgeball tournaments, summer rounders and Michelin star dinners are all part of the thank you package for your hard workStarting salary £22k - £25k + Uncapped commission + promotion average 3 monthsGreat training, fantastic commission, this company are ready to hire 4 new recruits onto their London team. APPLY NOW for immediate consideration! "
39473738,https://www.reed.co.uk/jobs/sales-trainee/39473738,"['Sales', 'Training']","We have a great opportunity for a Sales Trainee working for our client, an office services provider. This role is suited to someone with a desire to start or progress their sales career, someone confident and well-presented who can build working relationships  easily. Our client is a highly successful office services provider with clients all over the country but mainly within Greater London and the City of London. The company offer standard equipment and services, but their route to market is innovative and exclusive.  There is a large and successful sales team in place, and all recruitment is done at an entry level with Sales Trainees who will eventually progress into Account Managers. On a day to day basis your role will be to call prospective clients to arrange appointments for the senior sales people. Full training is given, along with constant coaching and monitoring. It is in the client’s interest that you succeed and they will give  you their full support. Your target is set as a trainee, and this will increase periodically to stretch and develop you. Commission is paid during the training period. Once you reach a certain level you will pass your training (usually in 6 to 12 months) and your basic salary will  go up. The role will need you to build relationships quickly and easily, and be a strong communicator, when sometimes your message is not happily received! The successful candidate will need to demonstrate tenacity and diplomacy in equal measure on a daily basis. Based about 15 minutes from Hertford, the office is in a rural location and so your own transport is necessary. The offices are smart and provide a comfortable working environment. The starting salary for this role will be £18,000 per annum + commission. What happens next: In the first instance, please apply through this advertisement to Mission 4 Recruitment. We are working with our client to find the best candidates on the market. Successful applicants will be invited to meet the Consultant working on the position within  the next few days, and we can come to you! First interviews with the Hiring Manager will be held as quickly as possible as this position is available now. We understand that you may have notice to give so we want to get the ball rolling as quickly as we can. We look forward to hearing from you. Despite our best efforts it is not always possible to respond to every application individually due to the high volume of responses we receive on each vacancy. Only candidates who are shortlisted will be contacted for this particular role and if you  have not heard from us within 7 days please assume that you have not be successful. However, we will keep your details on our database, and will contact you when other suitable positions come in. "
39877449,https://www.reed.co.uk/jobs/field-sales-consultant-tottenham-enfield-southgate/39877449,"['Account Management', 'Business Development', 'Field Sales', 'Sales', 'Selling']","Field Sales Consultant - Metal Division - Tottenham, Enfield, Southgate, East London£18k basic salary + variable OTE £25k - £28k + car, phone & tabletFull, valid driving licence is requiredThe Würth Group is a leading industrial consumable products provider with over 400 companies and a global workforce of 75,000. Our dedication to quality products and excellent customer service has earned us an enviable reputation and on-going growth. Our divisional  Field Sales Consultants sell across four main industries; Automotive, Wood, Metal & Construction. Our aim is to drive sales and grow our business with existing customers and seek out opportunities through new customers.We require people with excellent sales skills and proven success in goal setting and achievement or alternatively you may come from a relevant trade or customer facing background. As a sales consultant with Würth UK Ltd you will earn a competitive salary with  generous bonuses on offer and be given full-training, support and tools required to build a successful career with Würth.We Offer:  £18k basic salary + variable OTE between £25k - £28k (potential to earn more with success)Fully expensed company car with upgrade after 3 yearsTablet, Phone and various incentives, including overseas tripsOngoing support, training and career opportunities You bring:  Good relationship building skillsA dynamic and enthusiastic personalityGood work ethic and integrityDesire to succeed and achieve targets and goals If this sounds like you and you would like to build a career with a modern, progressive company with an eye on the future, apply for this position by clicking the button below. Be a part of the Würth success story; work in a positive environment alongside  a multi-national team, and fast track your sales career. "
