jobId,jobUrl,required_skills,description
39872764,https://www.reed.co.uk/jobs/temporary-payroll-clerk/39872764,,"Semester is one of the leading UK Locum, Health and Social Work Recruitment Consultancies. Our commitment to you as a health and social care worker is to find you work wherever you want to work within the UK. We work with very closely with local authorities, voluntary and private sector organisations. Our years of experience and professional yet personal service means we are able to help with social work jobs & other Health & Social Care Recruitment roles from  support workers to administration staffing. Semester Recruitment are currently recruiting a temporary Payroll Clerk with view to interviewing/starting ASAP to work in Rochdale until the end of April 2020 with the possibility of the placement being extended for the right candidate. The duties are as follows; To undertake accurate processing of salaries, wages and allowances for Council employees and client groups. To ensure that all payments are calculated and maintained in a manner that complies with all the appropriate regulations, and in accordance with agreed  timescales and deadlines. In depth knowledge and application of National and Local Conditions of Service including occupational schemes such as Maternity and Sickness Experience of managing the running of payroll from start to finish using an integrated HR & Payroll system. Including but not limited to running reports, net pay checking, preparing costing file, balancing the payroll, producing payslips and BACS files. Experience of calculating salary adjustments such as under/over payments. Ensuring tax, NI and other deductions are correctly accounted for. Knowledge and application of IT systems such as outlook and integrated HR & Payroll systems In return we will offer you a competitive salary with weekly pay and an excellent working environment with a friendly team. "
39910895,https://www.reed.co.uk/jobs/support-worker/39910895,['support worker'],"I have a brilliant opportunity for Support Workers to join a well established social care organisation, specifically to work in their specialist residential homes, based between Preston and Leyland in Lancashire You will offer support to Young People who have mild, moderate and severe autistic spectrum conditions and associated complex learning support needs. Day and Waking Night opportunities available. We also require 2 x Senior Support Workers and a Team Leader Responsibilities  To deliver the best possible outcomes for the young people in your care, within a caring, homely environment.Promote relationships between staff, young people and the communityTo work closely with the Registered Manager to ensure the home is managed efficiently, meeting OFSTED standards. Salary and Hours £17062 - £21430 (plus sleeps) Requirements  Experience working in Children's Residential services is not essential - we will accept applicants from support workers who have experience with adults with challenging behaviours as extensive training is given for these roles.Comfortable delivering personal care If this sounds like something you are interested, click apply! Or refer a friend for up to £250!! "
39941658,https://www.reed.co.uk/jobs/positive-behaviour-support-practitioner/39941658,,"Apply on employer's website                     Certitude is an adult social care provider, rated as outstanding by CQC for our Domiciliary Care. We are proud of our history of supporting people with complex mental health needs and learning disabilities and support more than 1500 people in a diverse range  of services across London. We employ 1000 staff and are committed to their development. With Certitude you have the opportunity to work with incredible people, develop your career and support others to have a good life.  Are you passionate about ensuring people with learning disabilities and autism live the life they want? Do you want to be instrumental in changing the perceptions of people with who are considered to have complex and challenging support needs?  Can you use a range of analytical tools to co-design strategies that change the support that people receive, leading to improvements in their quality of life? This is a great opportunity in our Intensive Support Team to make a real difference to the lives of people we support. We are looking for someone with experience in designing, implementing and embedding behavioural support strategies and interventions in  line with Positive Behaviour Support approaches. Your energy, enthusiasm, drive for quality, excellent communication skills and track record of getting things done are needed. In return you will get a rewarding career opportunity in an organisation that prides  itself on allowing people to live the life they want as well as being a highly regarded London provider. To be successful in this role you will need to demonstrate: * An understanding of the needs of people with learning disabilities and autism including those with complex health needs, additional mental health needs and complex support needs * Experience of implementing Positive Behaviour Support, assessment models, Sensory Integration approaches and an understanding of the experiences and viewpoints of families and support staff * Experience of leading and coaching teams to implement techniques and strategies to embed person centred working Facilitation skills, in particular the ability to work closely with people from a variety of backgrounds/ professions We will trust you to: * Ensure that all intervention strategies are planned with individuals and the support around them including external professionals, to ensure that they are positive in approach and impact. Facilitate the implementation and embedding of strategies to enable  consistency of support and ensure long term benefits for the person. * Act as an organisational resource on best practice in supporting people whose behaviour challenges, keeping up to date with current and emerging best practice and legislation in this area * Role model and provide expert knowledge, training and leadership in developing Positive Behaviour Support approaches across Certitude. What's in it for you?  A competitive salaryTraining and development opportunitiesPension salary sacrifice schemeA stimulating work environment full of opportunities to learn and developAn attractive package of 25 days annual leaveAccess to a 24-hour Employee Assistance supportWe will pay for your Enhanced DBS.Eye care vouchersTravel season ticket loanCycle to work Scheme Our Values:  Working TogetherContinuously ImprovingInspired by PeopleDependable All our posts are subject to an Enhanced DBS disclosure as well as a need for full employment history from time of leaving compulsory education and up to date employment references. We are committed to equal opportunities in employment and service delivery  and we welcome applications from all sections of the community. We guarantee to interview all applicants with a disability who meet the minimum criteria for the job vacancy and to consider them on their abilities. You may have experience of the following: Support Worker, Charity, Charities, Third Sector, Learning Disabilities, Social Care, Voluntary Sector, Mental Health Worker, Healthcare Assistant, Care Staff, Community Development, Care Worker, Vulnerable  People, Social Worker, Psychology, Positive Behaviour Support, Autism, Not for Profit, NFP etc. "
39485721,https://www.reed.co.uk/jobs/care-assistant-morpeth/39485721,,
39851444,https://www.reed.co.uk/jobs/social-prescribing-link-worker/39851444,['Support'],"Age UK Nottingham have an exciting opportunity for a Social Prescribing Link Worker to join their growing team in Nottingham. Job Title: Social Prescribing Link Worker Location: Community based within PCN’s in Nottingham North and East Salary: £19,721 - £21,645 depending on experience Job Type: 37 hours per week, full time Hours: Fixed term until December 2020, with possible further extension to March 2022 Job Available: 1 post – Working with ages 18-64 Social Prescribing Link Worker – The Role: The Social Prescribing Link Worker Service delivers social prescribing, which takes a holistic approach to an individual’s health and wellbeing, connecting people to community groups and statutory services for practical and emotional support. In this  position, you will help individuals to improve their health, enhance their wellbeing and maintain independence. We support and enable individuals to identify and develop self-management strategies, with empowerment being at the core of any interventions. The service supports a range of individuals at different stages of life. This post will involve working with younger people (aged 18-64) and may include people with mental health issues and/or alcohol /substance misuse problems. The post holder will cover GP surgeries based within the Nottingham North & East NHS Locality (mainly Arnold, Calverton, Mapperley, Gedling, Carlton, Netherfield & Lowdham). You will work as a key part of the primary care network (PCN) multidisciplinary team, working closely with health professionals attending surgery based MDT meetings to take referrals and feedback on outcomes. You will visit people in their homes and help  them identify and achieve personal goals to improve their quality of life and wellbeing, enabling them to maintain or increase their independence. With an awareness of the relevant issues, you will be empathetic, sensitive and able to motivate and empower  people to develop strategies to self-manage their needs. Social Prescribing Link Worker – Benefits: As an employee of Age UK Nottingham & Nottinghamshire you will be eligible for our attractive package which includes 24 days annual leave (Pro Rata), public holidays, flexible working and a 4% employer contribution pension (in line with auto-enrolment rules). To submit your application for this excellent Social Prescribing Link Worker opportunity, please click ‘Apply’ now. The closing date for receipt of completed applications is 9am on Thursday 20th February 2020. Interviews will be held on Thursday 27th February 2020. Age UK Nottingham & Nottinghamshire promotes equality and diversity. "
39605747,https://www.reed.co.uk/jobs/senior-care-assistant/39605747,,
39906959,https://www.reed.co.uk/jobs/recovery-support-worker/39906959,,"Apply on employer's website                     We are looking for warm, resourceful and energetic individuals to join our friendly and experienced team of Recovery Support Workers in our Mental Health supported accommodation service in Leicester, LE2. We are happy to consider requests for full-time and  part-time contracts. Orchard House is an accommodation based service made up of 20 self contained flats. Service Users can live at the service for up to 2 years and within this time the Recovery Workers will work with individual service users to provide positive mental health  and housing related support in a personalised way.  The position involves undertaking the responsibility of being a Key Worker/Co-worker. This will enable you to plan alongside members of the person’s circle of support to enable individuals to be happy, healthy and to be successful in achieving their wishes  and aspirations. Our person centred planning meetings and processes are co-produced with the people we support and their families to promote a unified approach. Together you will set meaningful and aspirational goals which you will support our service users  to move towards. Ideal candidates will have previous experience of working with people that are experiencing mental health problems, either in a community, residential or inpatient setting. Ideally, you will have experience of working in a recovery-focused way. You will  be motivated with good communication skills and a commitment to achieving positive outcomes using a person-centred recovery approach. We provide relevant training including accredited health and social care diplomas through our own training academy. In addition to opportunities for personal and career development we offer a range of employee benefits and a supportive, hands-on management  culture. We welcome applications from all potential candidates who are committed to making a positive difference, including experienced support workers, graduates and people looking for a stimulating career path into social care. "
39853798,https://www.reed.co.uk/jobs/senior-support-worker/39853798,"['Support', 'Support worker', 'Health care', 'Senior Support worker', 'Mental Heath', 'Care Practitioner', 'Adults Learning disability']","Senior Support Worker - Oxford Area - £9.50 plus benefits  We are looking for a passionate and knowledgeable Senior support worker to join the successful service in the Oxford area. this is a 12 Bed Forensic Service for Adults with some additional needs such as Mental Heath, ABI and Autism. All of our service users  are from a criminal background. This is in a good location, about 10 minutes from the city centre and has excellent transport links to this service. My client is one of the largest Healthcare providers in the country and prides itself on person centred care and meeting the needs of all their service users. They hold a gold investor in people award and offer support to all their staff in their careers  in the Healthcare sector You will use your skills and knowledge to lead the shift and motivate the staff team as well as being involved in the rotas. You will work closely with the Manager and Deputy Manager and will assist with all CQC inspections, This is an excellent opportunity for an experienced Senior looking to join a company that offers prospects and an enjoyable working environment, OR a support worker or shift Leader looking for their next opportunity to step up. you will be required to work a combination of Days and Waking Nights, earliest shift is 7:30am latest shift is 9:30pm. To apply for this role, you must have the following  NVQ 3 Health and Social Care (desirable) Experience in Forensic Mental Health  A passion for care and a desire to help people  Friendly personality  You will be offered a salary of £9.50 per hour, and can take advantage of excellent befits such as,  Full paid training & induction provided. Opportunity to complete a free NVQ qualification Free Enhanced DBS Auto Enrolled pension scheme Paid annual leave Reward/recognition schemes Generous staff discount and benefits scheme Excellent opportunities for career progression If you would like more information on this role, please call Carly at Meridian Business Support on 0151-556-2090. Or send a Cv. Meridian Business Support is acting on behalf of our Client as a Recruitment Agency. "
39927438,https://www.reed.co.uk/jobs/team-manager/39927438,,"Peterborough City Council are currently looking for a Team Manager to join their Family Safeguarding Team! Pay rate is £38 per hour. Main duties of the role:   Child in Need /case managementChild protection planning/case managementChildren looked after planning/case management  Regular supervisionCapability/conduct hearingsAppraisalsASYE/progression panels About The Team: Peterborough is one of four local authorities implementing the innovative Family Safeguarding model. The model brings together a blend of childrens social workers and adult professionals to provide a more holistic and efficient method of care which gives  social workers more control. The six teams in Family Safeguarding work with children and their families to improve their situations. The social workers in this area build relationships with both the children and adults and work with them over months or even years. To be considered for this role you must have: - A relevant social care Qualification (DIPSW, BA Hons..) - HCPC Registration - Full License and access to own vehicle If you would like more information, or you're interested in being considered for this position please contact Danielle on  Eden Brown Synergy is an equal opportunities employer. For more opportunities, please visit www.edenbrownsynergy.com "
39796013,https://www.reed.co.uk/jobs/senior-social-worker/39796013,,"Apply on employer's website                    About the role As a Senior Social Worker you will contribute to the delivery of multi-agency crisis services for children aged 4-17 with ASD and/or LD with challenging behaviour, their families and carers; bringing a social care perspective to the work of the Children's  Crisis intensive Support Service. There will be some evening hours required for the role. Supporting and protecting children and young people with ASD and their families will be at the heart of all you do, by providing a range of interventions including:  consultationreflectionjoint case workingparticipation in case reviewsassessment of needcare planning and intervention You will also be attending statutory meetings in relation to cases where your involvement would be beneficial. You will use your excellent communication and engagement skills to ensure that the Children's Crisis Intensive Support Service operates in a safe and efficient way, as part of the whole system of partnership and multi-agency working. Your commitment to partnership  working will enable you to establish and promote key relationships. You will play a crucial role in maintaining effective communication between local area children's social care teams, CAMHS and other agencies involved, whilst delivering a crisis intervention of up to 6 weeks in the community. You will be part of a specialist service working across the county in the community, delivering assessments whilst supporting and mobilising the network and family to continue support following the crisis intervention.  To be shortlisted for interview for this role, your application will clearly evidence the following:  Good communication & engagement skillsEvidence of effective partnership workingDelivering interventions to young peopleExperience of working with Children and young people with ASD and or LD with challenging behaviourWillingness to work some evenings up till 10pm as part of a 36 hour week and some on-call This is an exciting new role working in a new and innovative service. If this sounds like something you want to be a part of, we look forward to receiving your application. For more information, please see the attached role profile at the bottom of this page. "
